unified_round,native_id,date,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,has_archived_metric,source_file
121,NEXT105,2026-08-04,search/test,cross-source CMVF label-free features,"SCIGEN 13,470 + WyFormer 5,232 discovery",NA (label-free feature build),"core coverage 20.29%/41.48%, expanded 54.47%/60.11% (combined 56.05%)",unmarked,yes,2026-08-04-next104-next108-cmvf-no-dft-search.md | docs/plans/next105_cross_source_cmvf_features.py | artifact mtime: tests/test_next105_cross_source_cmvf_features.py
122,NEXT106,2026-08-04,search/test,"single CMVF optional guard on 67 AUC-pass bases (2,077 candidates)",SCIGEN + WyFormer discovery,dual-source AUC + 12 SAFE cells + BROAD,max SAFE 9/12 (unchanged); 0 SAFE-all; 0 all-gates,no-gain,yes,2026-08-04-next104-next108-cmvf-no-dft-search.md | docs/plans/2026-08-04-next106-cmvf-search.md | SSD/workspace_data/newpauling/next106_cmvf_optional_guard_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=2077; e
123,NEXT107,2026-08-04,search/test,"two same-catalogue CMVF guards (12,127 candidates)",SCIGEN + WyFormer discovery,dual-source AUC + 12 SAFE cells + BROAD,max SAFE 10/12 (9/12 among AUC-pass); 0 SAFE-all; 0 all-gates,fail-gate,yes,2026-08-04-next104-next108-cmvf-no-dft-search.md | docs/plans/2026-08-04-next107-two-axis-cmvf-guard-search.md | SSD/workspace_data/newpauling/next107_two_axis_cmvf_guard_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=12127; 
124,NEXT108,2026-08-04,search/test,"near-miss frontier rescue: 353 near-AUC bases + expanded overload/reallocation pair (9,178 candidates)",SCIGEN + WyFormer discovery,dual-source AUC + 12 SAFE cells + BROAD,"1 candidate SAFE 12/12 but SCIGEN worst-lattice AUC 0.53633 < 0.55; 1,105 pass all AUC gates with max 10/12 SAFE; 0 all-gates",fail-gate,yes,2026-08-04-next104-next108-cmvf-no-dft-search.md | docs/plans/2026-08-04-next108-near-miss-expanded-flow-rescue.md | SSD/workspace_data/newpauling/next108_near_miss_cmvf_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=9178 || SSD/
125,NEXT109,2026-08-08,search/test,CMVO Brown-free graph-interval obstruction certificate (normalized infeasibility D* + gap decompositions),SCIGEN + WyFormer discovery,NA (mechanism build),"coverage raised to expanded 11,194/13,470 (83.10%) and 4,545/5,232 (86.87%)",unmarked,yes,2026-08-08-next109-next111-cmvo-no-dft-search.md | docs/plans/2026-08-08-next109-convex-mixed-valence-obstruction-design.md | artifact mtime: docs/plans/2026-08-08-next109-convex-mixed-valence-obstruction-design.md
126,NEXT110,2026-08-08,search/test,cross-source CMVO label-free features,"SCIGEN 13,470 + WyFormer 5,232 discovery",NA (label-free feature build),"core support 7,696 (57.13%) / 3,722 (71.14%); expanded 11,194 / 4,545",unmarked,yes,2026-08-08-next109-next111-cmvo-no-dft-search.md | docs/plans/2026-08-08-next109-next111-cmvo-implementation.md | artifact mtime: tests/test_next110_cross_source_cmvo_features.py
127,NEXT111,2026-08-08,search/test,"CMVO optional guard search on 353 near-miss bases (22,592 candidates)",SCIGEN + WyFormer discovery,dual-source AUC + 12 SAFE cells + shared BROAD,"4,295 pass all AUC gates; 4 pass SAFE 12/12; 0 pass both; 0 BROAD; component_balance_gap pushes one base past all AUC gates (SCIGEN worst 0.55009) at 10/12 SAFE",fail-gate,yes,2026-08-08-next109-next111-cmvo-no-dft-search.md | docs/plans/2026-08-08-next109-next111-cmvo-implementation.md | SSD/workspace_data/newpauling/next111_cmvo_optional_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=22592 || SSD/
128,NEXT112,2026-08-08,search/test,"CMVOM obstruction morphology certificate (component-weighted gaps, localized slack severity, side slack asymmetry via secondary LPs)",SCIGEN + WyFormer discovery,NA (mechanism build),invariance tests pass; no new technical abstentions,unmarked,yes,2026-08-08-next112-next114-cmvom-no-dft-search.md | docs/plans/2026-08-08-next112-next114-obstruction-morphology-implementation.md | artifact mtime: docs/plans/2026-08-08-next112-next114-obstruction-morphology-implementation.md
129,NEXT113,2026-08-08,search/test,"cross-source CMVOM label-free features (3 retained terms, expanded terms IQR=0 excluded)","SCIGEN 13,470 + WyFormer 5,232 discovery",NA (label-free feature build),support identical to NEXT110 (57.13%/71.14% core; 83.10%/86.87% expanded),unmarked,yes,2026-08-08-next112-next114-cmvom-no-dft-search.md | docs/plans/2026-08-08-next112-next114-obstruction-morphology-implementation.md | artifact mtime: docs/plans/2026-08-08-next113-cmvom-feature-freeze.json
130,NEXT114,2026-08-08,search/test,"CMVOM frontier rescue on 42 conflict-frontier bases (2,688 candidates)",SCIGEN + WyFormer discovery,dual-source AUC + 12 SAFE cells + BROAD,111 pass dual AUC (max SAFE 10/12); 7 pass SAFE 12/12; 0 both; 0 BROAD; best new SAFE candidate drops SCIGEN worst AUC 0.552781 -> 0.526551 (fail),fail-gate,yes,2026-08-08-next112-next114-cmvom-no-dft-search.md | docs/plans/2026-08-08-next112-next114-obstruction-morphology-implementation.md | SSD/workspace_data/newpauling/next114_cmvom_frontier_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=2688 || SSD/
131,NEXT115,2026-08-08,search/test,Hall closure invariants (interval-flow obstruction LP),prototype bipartite interval graphs + raw structures,exact closure-LP vs exhaustive-subset equivalence and invariance checks,"max abs error 2.220446049250313e-15 over 5,000 graphs; 0 fractional primary solutions; 0 flow-feasibility mismatches",probe-pass,yes,line 44 | docs/plans/2026-08-08-next115-hall-closure-design.md | artifact mtime: docs/plans/2026-08-08-next115-hall-closure-design.md
132,NEXT116,2026-08-08,search/test,Hall closure invariants (HCID cross-source feature freeze),SCIGEN+WyFormer discovery,label-free feature coverage matching NEXT113 sign-pattern support,"SCIGEN 7,696 core / 11,194 expanded supported of 13,470; WyFormer 3,722 / 4,545 of 5,232",probe-pass,yes,line 100 | docs/plans/2026-08-08-next115-next117-hall-closure-implementation.md | artifact mtime: docs/plans/2026-08-08-next116-hcid-feature-freeze.json
133,NEXT117,2026-08-08,search/test,Hall closure invariants (HCID frontier search),SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"11,349 candidates; 6,176 pass six AUC; 463 pass SAFE12; 0 pass both; 0 pass BROAD; 44 candidates reach 11/12 SAFE (up from 10/12)",fail-gate,yes,line 171 | docs/plans/2026-08-08-next115-next117-hall-closure-implementation.md | SSD/workspace_data/newpauling/next117_hcid_frontier_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=11349 || SSD/
134,NEXT118,2026-08-08,search/test,metallic applicability protection,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 gates,"44*120 binary + 16,500 continuous + 595/1,650/1,050 rescue variants: no SAFE12+AUC intersection; best SAFE12-side SCIGEN worst-lattice AUC ~0.528143",abandoned-family,yes,line 300 | docs/plans/2026-08-08-next118-metallic-applicability-protection-design.md | artifact mtime: docs/plans/2026-08-08-next118-metallic-applicability-protection-design.md
135,NEXT119,2026-08-08,search/test,bounded valence-transport budget (BVTBD closed-form design),prototype,kernel/builder tests incl. multi-coordinate oracle,passed 20 kernel/builder tests; earlier exact TRF box prototype abandoned (>20-min latency tail),probe-pass,yes,line 323 | docs/plans/2026-08-08-next119-bounded-valence-transport-design.md | artifact mtime: tests/test_next119_bounded_valence_transport.py
136,NEXT120,2026-08-08,search/test,BVTBD label-free feature build,SCIGEN+WyFormer discovery,label-free feature coverage,"SCIGEN 13,008/13,470 supported; WyFormer 4,984/5,232; all 11 features finite",probe-pass,yes,line 358 | docs/plans/2026-08-08-next120-bvtbd-feature-freeze.json | artifact mtime: tests/test_next120_cross_source_bvtbd_features.py
137,NEXT121,2026-08-08,search/test,BVTBD frontier rescue search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"59,319 candidates; 11,450 pass six AUC; 3,573 SAFE12; 0 both; closest SAFE12 SCIGEN worst AUC 0.544910787 < 0.55 (deficit 0.005089213)",fail-gate,yes,line 391 | docs/plans/2026-08-08-next121-bvtbd-frontier-rescue-design.md | SSD/workspace_data/newpauling/next121_bvtbd_frontier_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=59319 || SSD
138,NEXT122,2026-08-08,search/test,fixed SAFE12 BVTC/PRLR rescue,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"14,292 candidates; 572 pass six AUC; 7,169 SAFE12; 0 both; closest SAFE12 SCIGEN worst AUC 0.547835972 (deficit 0.002164028); 0 BROAD",fail-gate,yes,line 512 | docs/plans/2026-08-08-next122-safe12-bvtc-prlr-rescue-design.md | SSD/workspace_data/newpauling/next122_safe12_bvtc_prlr_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=14292 || S
139,NEXT123,2026-08-08,search/test,multiscale Hall contact robustness (MHCR design),SCIGEN+WyFormer discovery,frozen label-free feature construction,NA,probe-pass,no,line 616 | docs/plans/2026-08-08-next123-multiscale-hall-contact-robustness-design.md | artifact mtime: docs/plans/2026-08-08-next123-multiscale-hall-contact-robustness-design.md
140,NEXT124,2026-08-08,search/test,MHCR label-free feature build,SCIGEN+WyFormer discovery,label-free coverage + redundancy cutoff,"core supported 7,696/13,470 SCIGEN, 3,722/5,232 WyFormer; max pairwise Spearman ~0.561158 < 0.98 cutoff",probe-pass,yes,line 629 | docs/plans/2026-08-08-next123-next125-mhcr-implementation.md | artifact mtime: tests/test_next124_cross_source_mhcr_features.py
141,NEXT125,2026-08-08,search/test,MHCR frontier rescue search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"57,178 candidates; 260 pass six AUC + SAFE12 (first closure of the AUC-SAFE12 conflict); 0 pass BROAD; best min AUC margin +0.003498697",fail-gate,yes,line 660 | docs/plans/2026-08-08-next123-next125-mhcr-implementation.md | SSD/workspace_data/newpauling/next125_mhcr_frontier_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=57178 || SSD/
142,NEXT126,2026-08-08,search/test,Hall-profile persistence (HPP) feature,SCIGEN+WyFormer discovery,label-free feature build,"SCIGEN 499 nonzero of 11,194 supported (Spearman vs tau50 0.641163); WyFormer 629/4,545 (0.740195)",probe-pass,yes,line 765 | docs/plans/2026-08-08-next126-next127-hall-profile-persistence.md | artifact mtime: docs/plans/2026-08-08-next126-next127-hall-profile-persistence.md
143,NEXT127,2026-08-08,search/test,HPP rescue search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"1,300 candidates; 1,300 pass AUC; 396 SAFE12; 0 BROAD; branch terminated",fail-gate,yes,line 797 | docs/plans/2026-08-08-next126-next127-hall-profile-persistence.md | SSD/workspace_data/newpauling/next127_hall_profile_persistence_rescue_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=13
144,NEXT128,2026-08-08,diagnostic,exact BROAD residual diagnostic of NEXT125 laws,SCIGEN+WyFormer discovery labels (offline),exact Pauling-Pareto threshold enumeration,all 260 laws fail exactly six SCIGEN protected_kept constraints; best normalized six-cell shortfall 1.153343964; kept 2467/3045 aggregate,diagnostic-only,yes,line 851 | docs/plans/2026-08-08-next128-broad-residual-diagnostic.md | artifact mtime: docs/plans/2026-08-08-next128-broad-residual-diagnostic.md
145,NEXT129,2026-08-08,search/test,high-coordination protection feature,SCIGEN+WyFormer discovery,label-free feature build,"coverage 13,470/13,470 SCIGEN and 5,229/5,232 WyFormer; positive on 7,258 / 2,080 rows",probe-pass,yes,line 889 | docs/plans/2026-08-08-next129-next130-coordination-protection.md | artifact mtime: docs/plans/2026-08-08-next129-next130-coordination-protection.md
146,NEXT130,2026-08-08,search/test,coordination-protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,"1,560 candidates; all retain AUC; 454 retain SAFE12; 0 BROAD",fail-gate,yes,line 915 | docs/plans/2026-08-08-next129-next130-coordination-protection.md | SSD/workspace_data/newpauling/next130_coordination_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=156
147,NEXT131,2026-08-08,diagnostic,residual after coordination protection,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,same six SCIGEN protected_kept failures; best weight-2 shortfall 0.792624940 (~31% smaller than 1.153343964),diagnostic-only,yes,line 954 | docs/plans/2026-08-08-next131-protected-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next131_protected_broad_residual_diagnostic_v1/NEXT131_PROTECTED_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=260; candidate_count=112; candidate
148,NEXT132,2026-08-08,search/test,higher-weight coordination termination search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,weights 3/4/6 lose SAFE12; 8/12 lose AUC; 0 BROAD; univariate weight extrapolation terminated,fail-gate,yes,line 983 | docs/plans/2026-08-08-next132-extended-coordination-protection-search-freeze.json | SSD/workspace_data/newpauling/next132_extended_coordination_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_
149,NEXT133,2026-08-08,search/test,compactness protection features (low volume; covalent packing),SCIGEN+WyFormer discovery,label-free feature build (residual-audit motivated),"low geom_volume_pa pooled AUC 0.734414, worst-fold 0.707213 in residual audit; full support 13,470 + 5,232",probe-pass,yes,line 1000 | docs/plans/2026-08-08-next133-next134-compactness-protection.md | artifact mtime: docs/plans/2026-08-08-next133-next134-compactness-protection.md
150,NEXT134,2026-08-08,search/test,compactness-protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,539 candidates; 264 AUC; 93 SAFE12; 79 both; 0 BROAD; some raise SCIGEN worst AUC to ~0.56410,fail-gate,yes,line 1027 | docs/plans/2026-08-08-next133-next134-compactness-protection.md | SSD/workspace_data/newpauling/next134_compactness_protection_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=539 
151,NEXT135,2026-08-08,search/test,conjunctive-product protection search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,539 candidates; 539 AUC; 119 SAFE12; 0 BROAD; best SCIGEN pooled/macro/worst 0.841038584/0.691965848/0.559729221,fail-gate,yes,line 1078 | docs/plans/2026-08-08-next135-conjunctive-compactness-search-freeze.json | SSD/workspace_data/newpauling/next135_conjunctive_compactness_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=539
152,NEXT136,2026-08-08,diagnostic,residual after product protection,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual,best shortfall 0.773270972 (further -2.44%); kept 2656/3045; same six SCIGEN protected_kept failures,diagnostic-only,yes,line 1119 | docs/plans/2026-08-08-next136-conjunctive-broad-residual-diagnostic.md | SSD/workspace_data/newpauling/next136_conjunctive_broad_residual_diagnostic_v1/NEXT136_CONJUNCTIVE_BROAD_RESIDUAL_DIAGNOSTIC.json :: candidate_count=11; candidate_count=11; candida
