unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
55,next,NEXT39,2026-08-03,2026-08-03T05:59 .. 2026-08-03T06:19,2026-08-03T10:57:13,plausibility,,mined from round report/controls,search/test,frozen B+E law transferred zero-refit,"OMat24 sparse trajectories 981 (step>=20, parent-unique)",step0-to-latest fingerprint change: coverage/protected recall/precision/savings,"protected class empty so protected-recall LCB 0.000000 (fail); Spearman 0.294705, severe(>=0.5) AUC 0.591597",fail-gate,2026-08-03-next39-omat24-trajectory-confirmation.md | docs/plans/2026-08-03-next39-omat24-trajectory-confirmation-design.md | artifact mtime: docs/plans/2026-08-03-next39-omat24-trajectory-confirmation-design.md
56,next,NEXT40,2026-08-03,2026-08-03T06:27 .. 2026-08-03T06:43,2026-08-03T11:27:28,plausibility,,mined from round report/controls,search/test,frozen B+E law transferred zero-refit (adaptive short-horizon),"OMat24 short trajectories 1,714 (parent-disjoint, steps 1-19)",step0-to-latest fingerprint change four gates,"protected recall 0.592593, LCB 0.480757 (<0.95); precision LCB 0.957480; no threshold passes four gates on this source",fail-gate,2026-08-03-next40-omat24-short-horizon-validation.md | docs/plans/2026-08-03-next40-omat24-short-horizon-design.md | artifact mtime: docs/plans/2026-08-03-next40-omat24-short-horizon-design.md
57,next,NEXT41,2026-08-03,2026-08-03T06:47 .. 2026-08-03T06:53,2026-08-03T11:45:41,plausibility,,mined from round report/controls,search/test,"B+E AND absolute covalent short-contact guard (6 guards, 8,442 candidates)","WBM 8,192 + OMat24 short 1,714 (both demoted to development)",per-source four gates (coverage/protected recall/precision/savings),"0/8,442 promoted; best worst-source protected-recall LCB 0.755672 among rows passing other three gates",fail-gate,2026-08-03-next41-source-balanced-contact-guard.md | docs/plans/2026-08-03-next41-source-balanced-contact-guard-design.md | SSD/workspace_data/newpauling/next41_source_balanced_contact_guard_search_v1/MANIFEST.json :: candidate_count=8442; eligible_count=0 || SSD/workspace_data/newpauling/next41_source_
58,next,NEXT42,2026-08-03,2026-08-03T07:13 .. 2026-08-03T07:55,2026-08-03T12:13:04,plausibility,,mined from round report/controls,search/test,frozen B+E law transferred zero-refit,"Alexandria round-1 raw x0 2,285 (force-converged DFT finals)",x0-to-converged-DFT structural change: coverage/protected recall/precision/savings gates,"protected recall 0.8162 (LCB 0.8001 fail), precision LCB 0.3696 fail; changed AUC 0.6294; Pauling P2+P5 also fails",fail-gate,2026-08-03-next42-alexandria-converged-validation.md | docs/plans/2026-08-03-next42-converged-alexandria-source-design.md | artifact mtime: docs/plans/2026-08-03-next42-converged-alexandria-source-design.md
59,next,NEXT43,2026-08-03,2026-08-03T08:01 .. 2026-08-03T08:27,2026-08-03T12:58:58,plausibility,,mined from round report/controls,search/test,"74-quantity analytic feature bank + 25,099 finite formulas","Alexandria 2,285 (discovery 1,381 / internal validation 904)",structural-change protection/precision/savings gates,"best (cov_q05 + sscp_load_q95): validation precision 0.6981, protected recall 0.9494, AUC 0.7033; precision gate fail",fail-gate,2026-08-03-next43-next46-qualified-development-search.md | docs/plans/2026-08-03-next43-analytic-law-search-design.md | SSD/workspace_data/newpauling/next43_alexandria_development/features/MANIFEST.json :: candidate_feature_count=74 || SSD/workspace_data/newpauling/next43_alexandria_development/sear
60,next,NEXT44,2026-08-03,2026-08-03T08:29 .. 2026-08-03T08:36,2026-08-03T13:28:27,plausibility,,mined from round report/controls,search/test,"87 rich tail/cell/composition features, 26,320 formulas","Alexandria 2,285 (dev/validation split)",structural-change protection/precision/savings gates,"best: precision 0.7647, protected recall 0.9621, changed AUC 0.7082; precision and savings gates fail",fail-gate,2026-08-03-next43-next46-qualified-development-search.md | docs/plans/2026-08-03-next44-rich-analytic-features-design.md | SSD/workspace_data/newpauling/next44_alexandria_development/features/MANIFEST.json :: candidate_feature_count=87 || SSD/workspace_data/newpauling/next44_alexandria_development/sear
61,next,NEXT45,2026-08-03,2026-08-03T08:38 .. 2026-08-03T08:41,2026-08-03T13:38:48,plausibility,,mined from round report/controls,search/test,"exhaustive 1-2 term conjunctive rectangles (528,488)","Alexandria 2,285",structural-change protection/precision/savings gates,"best rectangle precision 0.7568, savings 0.0832, changed AUC 0.5074; weaker than NEXT44",no-gain,2026-08-03-next43-next46-qualified-development-search.md | docs/plans/2026-08-03-next45-exhaustive-rectangles-design.md | SSD/workspace_data/newpauling/next45_alexandria_development/search/NEXT45_EXHAUSTIVE_RECTANGLE_SEARCH.json :: candidate_count=528488; candidate_feature_count=161
62,next,NEXT46,2026-08-03,2026-08-03T08:43 .. 2026-08-03T08:52,2026-08-03T13:42:46,plausibility,,mined from round report/controls,search/test,"local motif coherence (21 CrystalNN/Voronoi coordination order parameters), 26,913 formulas","Alexandria 2,285 (validation 904)",structural-change protection/precision/savings gates,"validation: coverage LCB 0.9369 pass, protected recall LCB 0.9512 pass, precision LCB 0.6993 fail, savings LCB 0.0926 fail; changed/severe AUC 0.7306/0.7763",fail-gate,2026-08-03-next43-next46-qualified-development-search.md | docs/plans/2026-08-03-next46-motif-coherence-design.md | SSD/workspace_data/newpauling/next46_alexandria_development/features/MANIFEST.json :: candidate_feature_count=21 || SSD/workspace_data/newpauling/next46_alexandria_development/sear
63,next,NEXT47,2026-08-03,2026-08-03T09:01 .. 2026-08-03T09:52,2026-08-03T14:01:03,adjacent,,mined from round report/controls,search/test,"frozen NEXT31 q05+C1.05 law, second zero-refit confirmation","OMC25 remaining 16 shards, 1,791 x0 (709 new refcodes)","DFT relaxation energy drop >= 0.04 eV/atom, five gates","precision 84.38% (LCB 75.54%), protected recall 338/338 (LCB 99.21%), savings LCB 2.92%, AUC 0.8742; all five pass; merged 3,099 rows AUC 0.8867",probe-pass,2026-08-03-next47-omc25-energy-replication.md | docs/plans/2026-08-03-next47-omc25-energy-replication-design.md | artifact mtime: docs/plans/2026-08-03-next47-omc25-energy-replication-implementation.md
64,next,NEXT48,2026-08-03,2026-08-03T10:11 .. 2026-08-03T12:07,2026-08-03T15:09:44,adjacent,,mined from round report/controls,search/test,frozen NEXT31 molecular short-contact law transferred zero-refit,"QMOF 4,119 raw x0 (5 sources)","x0-to-PBE-D3(BJ) structural fingerprint change, five gates","savings 0.267% (LCB 0.164% fail), substantial-change AUC 0.5755 fail; 11/11 rejects substantial (precision LCB 0.8026), 0/70 protected mis-rejected; all rejects from GMOF",fail-gate,2026-08-03-next48-qmof-external-validation.md | docs/plans/2026-08-03-next48-qmof-external-validation-design.md | artifact mtime: docs/plans/2026-08-03-next48-qmof-external-validation-design.md
65,next,NEXT49,2026-08-03,2026-08-03T12:20 .. 2026-08-03T12:30,2026-08-03T17:16:13,adjacent,,mined from round report/controls,search/test,periodic framework network topology features,"QMOF (opened, development)",framework structural-change screening (coverage/protection/precision jointly),NA,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next49-framework-topology-design.md | artifact mtime: docs/plans/2026-08-03-next49-framework-topology-design.md
66,next,NEXT50,2026-08-03,2026-08-03T12:26 .. 2026-08-03T12:39,2026-08-03T17:26:55,adjacent,,mined from round report/controls,search/test,framework motif features + framework rule search,QMOF (development),framework structural-change screening,NA,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/next50_framework_motif_features.py | SSD/workspace_data/newpauling/next50_qmof_framework_rule_development_v1/NEXT50_FRAMEWORK_SOURCE_BALANCED_SEARCH.json :: candidate_count=13789; candidate_feature_count=41
67,next,NEXT51,2026-08-03,2026-08-03T12:19 .. 2026-08-03T12:46,2026-08-03T17:19:18,adjacent,,mined from round report/controls,diagnostic,ODAC23 lockbox construction (src/next51_odac23_lockbox.py),ODAC23,physically isolated endpoint lockbox setup,NA,diagnostic-only,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/next51_odac23_lockbox.py | artifact mtime: $PRIS_ARCHIVE/next51_odac23_lockbox_source_v1
68,next,NEXT52,2026-08-03,2026-08-03T12:41 .. 2026-08-03T12:47,2026-08-03T17:41:02,adjacent,,mined from round report/controls,search/test,site-resolved local motif features,QMOF (development),framework structural-change screening,local motif single-term AUC up to ~0.736; coverage/protection/precision not jointly met,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/next52_site_resolved_motif_features.py | artifact mtime: tests/test_next52_site_resolved_motif_features.py
69,next,NEXT53,2026-08-03,2026-08-03T12:53 .. 2026-08-03T13:06,2026-08-03T17:53:49,adjacent,,mined from round report/controls,diagnostic,ODAC23 extraction deviation audit + split protocol design,ODAC23 train source,data extraction/split protocol,NA,diagnostic-only,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next53-odac23-extraction-deviation.md | artifact mtime: docs/plans/2026-08-03-next53-odac23-split-protocol-design.md
70,next,NEXT54,2026-08-03,2026-08-03T13:16 .. 2026-08-03T13:18,2026-08-03T18:02:17,adjacent,,mined from round report/controls,diagnostic,ODAC23 train partition and representative-x0 selection,"ODAC23 (118,091 x0; 7,815 framework names; discovery 4,721 / validation 1,524 / replication 1,570)",label-free representative selection and three-way split,NA,diagnostic-only,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next54-odac23-train-partition-design.md | artifact mtime: docs/plans/2026-08-03-next54-odac23-train-partition-design.md
71,next,NEXT55,2026-08-03,2026-08-03T13:21 .. 2026-08-03T13:24,2026-08-03T18:21:18,adjacent,,mined from round report/controls,search/test,ODAC23 analytic x0 feature bank,"ODAC23 7,815 representatives",NA (label-free feature build),NA,unmarked,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next55-odac23-analytic-feature-design.md | artifact mtime: docs/plans/2026-08-03-next55-odac23-analytic-feature-design.md
72,next,NEXT56,2026-08-03,2026-08-03T13:25 .. 2026-08-03T13:26,2026-08-03T18:25:44,adjacent,,mined from round report/controls,diagnostic,ODAC23 label firewall (src/next56_odac23_label_firewall.py),ODAC23,endpoint firewall enforcement,NA,diagnostic-only,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/next56_odac23_label_firewall.py | artifact mtime: tests/test_next56_odac23_label_firewall.py
73,next,NEXT57,2026-08-03,2026-08-03T13:28 .. 2026-08-03T13:31,2026-08-03T18:28:11,adjacent,,mined from round report/controls,search/test,initial ODAC23 x0 analytic discovery search,ODAC23 discovery,robust framework displacement p95 endpoint: precision/AUC/savings gates,Prec-LB 0.5337; AUC pooled/macro/worst 0.6090/0.6211/0.5671; Save-LB 0.0261,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next57-odac23-discovery-search-design.md | SSD/workspace_data/newpauling/next57_odac23_discovery_search_v1/NEXT57_ODAC23_DISCOVERY_SEARCH.json :: candidate_count=24216
74,next,NEXT58,2026-08-03,2026-08-03T13:32 .. 2026-08-03T13:47,2026-08-03T18:32:33,adjacent,,mined from round report/controls,search/test,shared motif features,"ODAC23 7,815",NA (label-free feature build),NA,unmarked,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next58-odac23-shared-motif-feature-design.md | artifact mtime: docs/plans/2026-08-03-next58-odac23-shared-motif-feature-design.md
75,next,NEXT59,2026-08-03,2026-08-03T13:37 .. 2026-08-03T13:49,2026-08-03T18:37:15,adjacent,,mined from round report/controls,search/test,motif discovery search,ODAC23 discovery,framework displacement precision/AUC gates,NA,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next59-odac23-motif-discovery-search-design.md | SSD/workspace_data/newpauling/next59_odac23_motif_discovery_search_v1/NEXT59_ODAC23_MOTIF_DISCOVERY_CANDIDATE.json :: candidate_feature_count=121 || SSD/workspace_data/newpauling/n
76,next,NEXT60,2026-08-03,2026-08-03T13:54 .. 2026-08-03T13:59,2026-08-03T18:54:03,adjacent,,mined from round report/controls,search/test,robust scaffold endpoint construction (framework displacement p95 median over >=4 conditions),"ODAC23 (9,502 scaffold conditions; discovery 4,624 / validation 1,497 / replication 1,539)","endpoint definition: protected<=0.05 A, severe>=0.20 A",NA,unmarked,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next60-odac23-robust-scaffold-endpoint-design.md | artifact mtime: docs/plans/2026-08-03-next60-odac23-robust-scaffold-endpoint-design.md
77,next,NEXT61,2026-08-03,2026-08-03T13:59 .. 2026-08-03T14:01,2026-08-03T18:59:49,adjacent,,mined from round report/controls,search/test,search on robust scaffold endpoint,"ODAC23 discovery 4,624",framework displacement precision/AUC/savings gates,Prec-LB 0.5906; AUC 0.7457/0.7248/0.6547; Save-LB 0.0260,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next61-odac23-robust-endpoint-search-design.md | SSD/workspace_data/newpauling/next61_odac23_robust_endpoint_search_v1/NEXT61_ODAC23_ROBUST_DISCOVERY_CANDIDATE.json :: candidate_feature_count=121 || SSD/workspace_data/newpauling/
78,next,NEXT62,2026-08-03,2026-08-03T14:02 .. 2026-08-03T14:09,2026-08-03T19:02:59,adjacent,,mined from round report/controls,search/test,conjunctive search,ODAC23 discovery,framework displacement precision/AUC gates,NA,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next62-odac23-conjunctive-search-design.md | SSD/workspace_data/newpauling/next62_odac23_conjunctive_search_v1/NEXT62_ODAC23_CONJUNCTIVE_DISCOVERY_CANDIDATE.json :: candidate_feature_count=121 || SSD/workspace_data/newpauling
79,next,NEXT63,2026-08-03,2026-08-03T14:11 .. 2026-08-03T14:14,2026-08-03T19:11:01,adjacent,,mined from round report/controls,search/test,metal chemistry features,"ODAC23 7,815",NA (label-free feature build),NA,unmarked,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next63-odac23-metal-chemistry-feature-design.md | artifact mtime: docs/plans/2026-08-03-next63-odac23-metal-chemistry-feature-design.md
80,next,NEXT64,2026-08-03,2026-08-03T14:14 .. 2026-08-03T14:15,2026-08-03T19:14:15,adjacent,,mined from round report/controls,search/test,metal chemistry search,ODAC23 discovery,framework displacement precision/AUC gates,NA,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next64-odac23-metal-chemistry-search-design.md | SSD/workspace_data/newpauling/next64_odac23_metal_chemistry_search_v1/NEXT64_ODAC23_METAL_CHEMISTRY_CANDIDATE.json :: candidate_feature_count=169 || SSD/workspace_data/newpauling/n
81,next,NEXT65,2026-08-03,2026-08-03T14:16 .. 2026-08-03T14:18,2026-08-03T19:16:57,adjacent,,mined from round report/controls,search/test,physics coupling features,"ODAC23 7,815",NA (label-free feature build),NA,unmarked,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next65-odac23-physics-coupling-feature-design.md | artifact mtime: docs/plans/2026-08-03-next65-odac23-physics-coupling-feature-design.md
82,next,NEXT66,2026-08-03,2026-08-03T14:18 .. 2026-08-03T14:20,2026-08-03T19:18:38,adjacent,,mined from round report/controls,search/test,physics coupling search,ODAC23 discovery,framework displacement precision/AUC gates,NA,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next66-odac23-physics-coupling-search-design.md | SSD/workspace_data/newpauling/next66_odac23_physics_coupling_search_v1/NEXT66_ODAC23_PHYSICS_COUPLING_CANDIDATE.json :: candidate_feature_count=181 || SSD/workspace_data/newpauling
83,next,NEXT67,2026-08-03,2026-08-03T14:21 .. 2026-08-03T14:26,2026-08-03T19:21:29,adjacent,,mined from round report/controls,search/test,"monotone expanded three-term axis (metal-donor distance, bond-orientation lambda_min, heteroatomic edge fraction)","ODAC23 discovery 4,624",framework displacement precision/AUC/savings gates,Prec-LB 0.6055; AUC 0.7694/0.7505/0.6816; Save-LB 0.0260,fail-gate,2026-08-03-next49-next79-odac23-no-dft-law-search.md | docs/plans/2026-08-03-next67-odac23-monotone-expanded-search-design.md | SSD/workspace_data/newpauling/next67_odac23_monotone_expanded_search_v1/NEXT67_ODAC23_MONOTONE_EXPANDED_CANDIDATE.json :: candidate_feature_count=181 || SSD/workspace_data/newpauli
